KeyArtist,KeyProfession
123,1
123,2
123,3
19,1
19,2
19,4
217,1
217,2
217,3
212,1
212,3
212,2
58,1
58,3
58,2
230,2
230,3
230,5
205,1
205,6
205,3
76,1
76,2
76,3
35,1
35,3
35,6
99,1
99,2
99,3
80,1
80,2
80,3
41,1
41,3
41,2
208,1
208,2
208,3
169,1
169,2
169,7
192,1
192,6
192,3
170,1
170,2
170,4
193,1
193,2
193,3
102,1
102,2
102,3
33,2
33,3
33,5
83,1
83,2
83,3
64,1
64,3
64,2
129,1
129,6
129,3
132,1
132,2
132,3
176,1
176,2
176,3
221,1
221,2
221,3
86,1
86,2
86,3
136,1
136,2
136,3
92,1
92,2
92,3
69,1
69,3
69,2
171,1
171,4
171,6
202,1
202,6
202,3
6,1
6,6
6,3
113,1
113,2
113,8
87,1
87,3
87,2
124,1
124,6
124,3
224,1
224,2
224,3
4,1
4,2
4,3
42,1
42,2
42,3
81,1
81,3
81,2
73,1
73,2
73,8
152,1
152,2
152,3
24,1
24,3
24,2
43,1
43,3
43,2
70,1
70,6
70,3
168,1
168,6
168,4
25,1
25,6
25,3
180,1
180,6
180,3
146,1
146,3
146,2
85,1
85,2
85,9
118,1
118,6
118,3
44,1
44,6
44,3
189,1
189,2
189,3
189,5
20,1
20,6
20,3
231,1
231,2
231,3
142,1
142,3
142,2
88,1
88,2
88,3
10,1
10,2
10,4
159,1
159,6
159,4
74,1
74,6
74,3
2,1
2,2
2,3
50,1
50,3
50,2
40,1
40,6
40,4
46,1
46,4
46,6
96,1
96,2
96,5
160,1
160,2
160,3
107,1
107,8
107,6
195,1
195,3
195,6
229,1
229,2
229,3
121,1
121,6
121,3
166,1
166,6
166,3
179,2
179,8
179,7
161,1
161,2
161,4
14,1
14,6
14,3
141,1
141,2
141,3
158,2
158,10
158,5
158,1
158,8
72,1
72,2
72,3
199,1
199,6
199,4
214,1
214,2
214,3
201,1
201,3
201,2
154,3
154,8
154,4
150,5
163,1
163,2
163,3
153,1
153,2
153,3
11,1
11,6
11,3
62,1
62,2
62,3
23,1
23,6
23,3
190,1
190,6
190,8
67,1
67,6
67,4
188,2
188,3
188,5
78,1
78,6
78,3
53,1
53,6
53,3
144,1
144,2
144,3
52,2
52,5
52,11
200,1
200,2
200,3
57,1
57,2
57,3
112,1
112,4
112,2
131,1
131,6
131,4
151,1
151,3
151,2
110,1
110,2
110,4
90,1
90,2
90,3
31,1
31,6
31,3
22,1
22,4
22,3
22,5
71,1
71,2
71,3
173,1
173,2
173,3
109,1
109,6
109,3
84,1
84,6
84,3
115,1
115,2
115,3
203,6
203,5
203,11
156,1
156,6
156,3
1,1
1,2
1,3
114,1
114,2
114,3
139,1
139,4
139,6
196,3
196,4
196,5
45,1
45,6
45,3
178,1
178,4
178,6
101,6
101,4
101,8
106,1
106,3
106,2
218,1
218,3
218,4
128,1
128,6
128,3
66,2
66,8
66,10
66,1
66,3
59,1
59,2
59,3
149,1
149,2
149,3
149,5
16,1
16,2
16,3
77,6
77,3
77,5
133,1
133,2
133,3
181,2
181,4
181,5
219,1
219,3
219,8
119,1
119,6
119,3
34,1
34,6
34,3
75,1
75,3
75,2
122,1
122,8
122,6
54,1
54,6
54,3
232,2
232,8
232,5
12,2
12,3
12,5
220,1
220,6
220,3
93,2
93,3
93,5
138,1
138,6
138,10
68,1
68,4
68,2
191,2
191,5
191,11
157,9
157,8
157,6
157,12
157,1
157,7
184,10
184,5
63,1
63,2
63,5
55,5
145,1
145,6
145,3
95,1
95,2
95,3
30,1
30,6
30,3
60,6
60,3
60,5
32,3
32,2
32,8
216,1
216,2
216,9
126,1
126,4
126,5
233,1
233,6
233,3
135,2
135,3
135,5
56,1
56,2
56,3
3,1
3,2
3,3
5,1
5,3
5,2
98,1
98,6
98,9
197,3
197,5
174,2
174,3
174,5
26,2
26,4
26,5
79,6
79,3
79,5
198,6
198,5
226,1
226,2
226,3
209,1
209,3
209,2
103,1
103,2
103,3
186,6
186,8
186,5
91,1
91,5
187,1
187,6
187,3
222,1
222,6
222,3
207,1
207,2
207,5
125,1
125,2
125,3
116,8
116,2
116,3
137,1
137,6
137,3
38,2
38,9
38,8
38,13
38,14
38,5
210,2
210,3
210,5
182,1
182,4
182,6
47,2
47,5
47,11
97,2
97,3
97,5
21,3
21,2
21,8
15,1
15,2
117,1
117,6
117,3
206,1
206,2
206,3
94,1
94,3
94,2
105,8
185,2
185,4
185,5
185,6
185,8
185,7
36,1
36,2
36,3
140,15
140,8
140,9
177,6
177,8
177,4
51,6
51,3
51,5
61,1
61,6
61,4
127,2
127,7
127,8
164,6
164,9
164,8
148,2
148,5
165,6
165,3
165,1
7,5
104,2
104,5
104,11
9,1
9,2
9,3
9,8
9,11
213,1
213,2
213,5
89,1
89,2
89,3
18,3
18,5
143,2
143,5
100,2
100,4
100,5
167,5
108,6
108,8
108,9
147,6
147,3
147,5
49,3
49,2
49,5
37,5
227,5
27,6
27,3
27,5
211,1
211,2
211,3
204,1
204,6
204,3
120,1
120,6
120,3
8,1
8,2
8,3
175,1
175,2
175,3
130,1
130,2
130,3
225,1
225,2
225,3
172,2
172,3
172,5
48,6
48,3
48,5
134,1
134,2
134,3
65,1
65,6
65,9
162,1
162,3
162,2
13,1
13,6
13,3
13,8
223,1
223,2
223,4
155,5
215,5
215,11
29,2
29,5
183,2
183,5
183,10
183,16
183,8
183,17
183,1
183,3
183,18
183,4
28,1
28,2
28,4
82,1
82,3
82,2
39,1
39,3
39,2
17,8
194,6
194,3
194,5
228,2
228,3
228,5
111,5
